customer_id,first_name,last_name,email,join_date
C00001,Andrea,Roberts,jamiewaters@example.org,03-07-2025
C00002,Robert,Perry,jessica17@example.org,16-04-2025
C00003,Stacie,Sanchez,meganjimenez@example.net,24-02-2025
C00004,Marissa,King,pamelaryan@example.com,20-09-2025
C00005,Luis,Smith,richardjanet@example.net,28-01-2025
C00006,Michael,Jones,kristenrodriguez@example.org,15-03-2025
C00007,Bailey,Ibarra,pgraham@example.com,23-07-2025
C00008,Christopher,Hill,carolmoran@example.net,07-05-2025
C00009,Marilyn,Wilson,jenkinsjessica@example.net,23-12-2025
C00010,Ricardo,Scott,amberbryant@example.com,27-10-2025
C00011,Jeremy,Colon,moralesjoseph@example.net,06-08-2025
C00012,Corey,Grant,lwilson@example.org,22-10-2025
C00013,Joyce,White,danielrobinson@example.com,25-02-2025
C00014,Debbie,Walters,jillpatel@example.net,09-11-2025
C00015,Katherine,Myers,zmccarthy@example.net,24-05-2025
C00016,Belinda,Johnson,longtara@example.com,29-07-2025
C00017,Virginia,Clayton,rcollins@example.net,22-07-2025
C00018,Vanessa,Williams,bthomas@example.net,06-10-2025
C00019,Sydney,Garcia,brownchad@example.com,21-01-2025
C00020,Jessica,Johnson,ilopez@example.com,30-05-2025
C00021,Gordon,Glover,douglasadam@example.net,01-11-2025
C00022,Adrienne,Burgess,emilyjohnson@example.com,07-09-2025
C00023,Stanley,Garcia,lewisdaniel@example.net,06-01-2026
C00024,Jack,Schmidt,alexis36@example.org,21-02-2025
C00025,Ashley,Williamson,michael04@example.com,21-10-2025
C00026,Andrew,Howard,hnolan@example.com,15-11-2025
C00027,Mary,Edwards,jeffreycarey@example.org,12-01-2026
C00028,Amber,Bennett,oramirez@example.net,02-09-2025
C00029,Gabrielle,Smith,efaulkner@example.com,29-07-2025
C00030,Natalie,Cox,benjamin19@example.com,27-08-2025
C00031,Bruce,Mullins,bellstefanie@example.net,24-01-2025
C00032,Robert,Jones,barrettkaren@example.org,23-07-2025
C00033,Martin,Warren,thorntonedward@example.net,15-08-2025
C00034,Scott,Kim,tracy71@example.net,17-06-2025
C00035,Chad,Ponce,zjohnson@example.net,16-01-2026
C00036,Stephanie,Norman,murphydestiny@example.net,09-06-2025
C00037,Alexandra,Hurst,michaelmartin@example.net,05-06-2025
C00038,Aaron,Weaver,bobrien@example.net,07-02-2025
C00039,Christopher,Pierce,reneeellis@example.net,20-09-2025
C00040,Aaron,Obrien,wherrera@example.net,27-06-2025
C00041,Ashley,Sexton,zpowers@example.org,07-06-2025
C00042,Donald,Thomas,ataylor@example.com,22-04-2025
C00043,Alexander,Russell,crystalmccormick@example.net,05-10-2025
C00044,Carrie,Lopez,gordon95@example.com,27-10-2025
C00045,Shari,Gibbs,hooddiana@example.com,26-05-2025
C00046,Sarah,Cook,deanna66@example.com,15-12-2025
C00047,Sheila,Rice,joshua36@example.com,11-06-2025
C00048,Stephanie,Horton,louis42@example.com,16-07-2025
C00049,Ruben,Greene,mary25@example.org,07-01-2026
C00050,Robert,Thomas,freemanmichael@example.org,03-08-2025
C00051,Kathy,Ayers,edwardsheidi@example.org,25-01-2025
C00052,Crystal,Hanson,bauercatherine@example.net,27-09-2025
